City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
107,vilyuysk,63.7553,121.6247,-3.23,96,100,2.24,RU,1697580761
108,invercargill,-46.4,168.35,13.34,67,93,3.13,NZ,1697580510
109,dudinka,69.4058,86.1778,-0.18,98,100,2.68,RU,1697580531
110,the pas,53.8251,-101.2541,14.01,62,75,1.54,CA,1697580763
111,margaret river,-33.95,115.0667,13.75,79,88,3.12,AU,1697580764
112,saint-joseph,-21.3667,55.6167,23.21,85,85,1.18,RE,1697580764
113,las lomas,8.4333,-82.4,25.22,97,75,4.47,PA,1697580765
114,kidal,18.4411,1.4078,31.34,22,55,3.63,ML,1697580611
115,callao,-12.0667,-77.15,24.29,77,20,7.2,PE,1697580584
116,tsiombe,-25.3,45.4833,21.76,91,100,3.12,MG,1697580533
117,benguela,-12.5763,13.4055,23.51,78,83,2.16,AO,1697580767
118,la passe,45.5549,-0.8967,21.1,74,98,10.63,FR,1697580767
119,kuqa,41.7278,82.9364,10.89,39,0,2.08,CN,1697580767
120,shenjiamen,29.9576,122.298,20.07,63,0,4.09,CN,1697580768
121,lagunas,-5.2269,-75.6753,29.22,65,63,0.73,PE,1697580769
122,kanker,20.2719,81.4931,20.16,80,14,0.9,IN,1697580769
123,plouzane,48.3833,-4.6167,20.03,68,0,9.77,FR,1697580770
124,yaya,56.206,86.44,8.38,87,100,4.6,RU,1697580771
125,dengzhou,37.8086,120.7508,18.54,75,100,0.93,CN,1697580772
126,vilyuchinsk,52.9306,158.4028,7.18,88,98,1.12,RU,1697580561
127,san patricio,28.017,-97.5169,26.05,27,0,1.58,US,1697580662
128,mount isa,-20.7333,139.5,24.87,16,0,4.12,AU,1697580775
129,nizhnesortymskiy,62.4397,71.7603,6.54,93,47,6.08,RU,1697580775
130,katsuura,35.1333,140.3,18.77,78,25,2.74,JP,1697580693
131,muli,2.9167,73.5667,27.81,72,81,4.83,MV,1697580777
132,comodoro rivadavia,-45.8667,-67.5,13.91,48,54,5.94,AR,1697580778
133,trondheim,63.4305,10.3951,8.05,92,92,0.45,NO,1697580778
134,avarua,-21.2078,-159.775,24.03,64,75,3.6,CK,1697580779
135,kayangel,8.0823,134.7173,27.85,75,12,0.95,PW,1697580779
136,nabire,-3.3667,135.4833,25.59,86,56,1.27,ID,1697580780
137,pariaman,-0.619,100.12,24.26,88,100,1.13,ID,1697580746
138,fisterra,42.9049,-9.2629,19.45,95,100,12.15,ES,1697580781
139,atlantic beach,30.3344,-81.3987,21.14,57,20,3.6,US,1697580224
140,wailua homesteads,22.0669,-159.378,28.44,71,40,3.6,US,1697580531
141,kot samaba,28.5522,70.4684,22.58,54,0,5.58,PK,1697580782
142,turpan,42.9333,89.1667,12.92,25,0,1.05,CN,1697580582
143,lerwick,60.1545,-1.1494,7.0,83,100,3.26,GB,1697580783
144,camana,-16.6228,-72.7111,19.75,83,36,2.66,PE,1697580533
145,mokolo,10.7398,13.8019,25.41,55,98,1.82,CM,1697580784
146,port elizabeth,-33.918,25.5701,16.16,95,0,2.06,ZA,1697580785
147,isafjordur,66.0755,-23.124,6.18,92,93,5.26,IS,1697580785
148,zuera,41.8677,-0.7898,20.73,84,64,5.75,ES,1697580786
149,nishiwaki,34.9833,134.9667,13.77,77,0,1.43,JP,1697580787
150,ventspils,57.3894,21.5606,9.96,87,75,6.17,LV,1697580787
151,masindi,1.6744,31.715,18.56,93,32,0.68,UG,1697580788
152,mercedes,-34.6515,-59.4307,17.7,30,0,4.17,AR,1697580789
